"coffee_shop_name","cityarea","num_reviews","popular","rating","ratingMorning","ratingLunch","ratingAfternoon","ratingDinner","coffee","coffee_rec","tea","tea_rec","food","food_rec","alcohol","alcohol_rec","vibe","vibe_rec","service","service_rec","price","price_rec","convenience","convenience_rec","internet","seating"
"Manana Coffee & Juice ","downtown",33,FALSE,4.85,4.64607441931968,5.37481437599273,4.87536287093534,5.73772915795422,0.67,"Ok",0.03,"Ok",0.21,"Ok",0,"Ok",0.52,"Good",0.27,"Ok",-0.06,"Very Bad",0.0375,"Ok",FALSE,TRUE
"Brian's Brew ","downtown",45,FALSE,4.84,5.11677293002598,5.33449509946617,5.03180613961066,5.03462219387288,0.89,"Very good",0,"Bad",0.11,"Ok",0,"Ok",0.04,"Ok",0.22,"Bad",0,"Ok",0.0375,"Ok",FALSE,TRUE
"Flitch Coffee ","downtown",28,FALSE,4.82,4.73261784493925,4.71891723517331,5.20616655217474,4.84885707631706,0.57,"Ok",0.07,"Good",0,"Very Bad",0,"Ok",0.46,"Good",0.29,"Ok",0.04,"Good",0.0725,"Good",FALSE,TRUE
"Third Coast Coffee Roasting Company ","downtown",56,FALSE,4.82,5.18769670784464,5.24751826651383,5.16353786204001,4.63294081702833,0.75,"Good",0,"Bad",0.04,"Bad",0.04,"Good",0.16,"Ok",0.21,"Bad",0.18,"Very good",0.05,"Ok",FALSE,FALSE
"Kowabunga Coffee ","downtown",16,FALSE,4.81,5.23284859292198,5.02709150101984,5.38578630084157,5.54007335916143,0.06,"Very Bad",0.13,"Very good",0,"Very Bad",0,"Ok",0,"Ok",0.44,"Good",0,"Ok",0.1575,"Very good",FALSE,FALSE
"Legend Coffee ","downtown",28,FALSE,4.71,4.27373423941445,5.06310643427065,4.63731784349309,4.44905638039119,0.89,"Very good",0.04,"Ok",0.18,"Ok",0,"Ok",0,"Ok",0.39,"Ok",0.04,"Good",0.0725,"Good",FALSE,FALSE
"Fleet Coffee ","downtown",57,FALSE,4.7,4.72698126852512,3.86104961918689,4.47404264248913,4.29341941893111,1,"Very good",0,"Bad",0.09,"Bad",0,"Ok",0.32,"Ok",0.28,"Ok",0.04,"Good",0.0175,"Bad",TRUE,TRUE
"Holy Grounds ","downtown",30,FALSE,4.63,5.00672228261819,4.58853184448556,4.52136994313451,3.99763885140435,0.53,"Ok",0,"Bad",0.43,"Good",0,"Ok",0.57,"Good",0.3,"Ok",0.03,"Ok",0.0175,"Bad",FALSE,TRUE
"Anderson's Coffee Company ","downtown",100,FALSE,4.62,4.66937761388718,4.1497997270712,4.03256053419799,3.99056975305097,0.63,"Ok",0.13,"Very good",0,"Very Bad",0,"Ok",0.12,"Ok",0.2,"Bad",0.13,"Good",0.045,"Ok",FALSE,FALSE
"Apanas Coffee & Beer ","eastcity",136,TRUE,4.58,4.53835014589132,4.3780917833746,4.20061942880983,4.54552180260421,0.81,"Good",0.01,"Ok",0.2,"Ok",0.29,"Very good",0.55,"Good",0.57,"Very good",-0.02,"Bad",0.065,"Good",TRUE,TRUE
